Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
010c9d7a6e9e6cac63f110915d9dd56e-3col60_5_9.shuffled,120,480,480,0,-1,-1,-1,0.000,0.002,0,0.00,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01135f7a79d555bd0406f00fac22cbe2-SC21_Timetable_C_140_E_29_Cl_10_S_15,88839,399352,340324,268,256,12,29268,32.642,32.964,268,0.24,33.68,259,3444,34,21.337,20.960,0.212,0.000,9,9,9,0,0,0
01209700b6b45ca5fda7fbcb17765db1-slp-synthesis-aes-top27,82745,247818,247818,0,-1,-1,-1,56.384,56.521,0,0.16,57.05,0,446,33,36.596,32.639,0.000,0.000,0,28,0,0,0,0
01225987412b6f8423cc68be93385f6e-eqspwtrc16bparrc16,5702,17008,17008,0,-1,-1,-1,0.399,0.408,0,0.01,0.44,0,1,141,0.194,0.171,0.000,0.000,0,18,0,0,0,0
01243b47967a3d012ea22e993355c833-f8bidw,424604,1264594,1264594,0,-1,-1,-1,48.406,49.198,0,0.81,51.65,0,127,11,12.268,9.742,0.000,0.000,0,5,0,0,0,0
013a51ccada51812061ed2d6504e23a5-gensys-icl003.shuffled-as.sat05-3824,2407,15484,15484,0,-1,-1,-1,0.170,0.198,0,0.02,0.24,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0141b82b3d2a411d8c2168119e2d7452-rope_0012.shuffled,432,1008,1008,0,-1,-1,-1,0.005,0.006,0,0.00,0.01,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0151bedac526ee195bc52e4134cd80e7-ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418,95816,311932,311932,0,-1,-1,-1,14.057,14.238,0,0.22,14.82,0,1147,158,0.901,0.387,0.000,0.000,0,108,0,0,0,0
0152d286cde406747d179c36a95c2fdc-shift1add.10000,219991,309978,309978,0,-1,-1,-1,2.403,2.595,0,0.27,3.19,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01657386753a1369dd286a3fee9062e4-SGI_30_70_28_60_1-log.shuffled-as.sat03-176,140,69060,69060,0,-1,-1,-1,0.031,0.229,0,0.08,0.51,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
