Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
0062dc10471119b9e13da682216b190f-ex179_11,127050,1618802,1380070,88,88,0,106180,242.178,243.755,88,0.99,246.82,30,16,64,231.176,183.186,47.436,0.000,58,0,58,0,0,0
0064aa2e16c9d4b18d32a45d3073fce9-desmul.miter.used-as.sat04-330,28902,179895,179895,0,-1,-1,-1,0.108,0.241,0,0.12,0.61,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0071b624d91ebe408b0585f8c4e34fd9-ctl_4291_567_7_unsat,17850,154654,154654,0,-1,-1,-1,12.604,12.728,0,0.11,13.05,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
008e7716c69009090ff6bd0048dc55f8-SAT_dat.k10,46169,202473,202473,0,-1,-1,-1,1.498,1.612,0,0.12,1.98,0,2341,26,0.190,0.171,0.000,0.000,0,7,0,0,0,0
00a62eb89afbf27e1addf8f5c437da9b-ortholatin-7,6076,101038,101038,0,-1,-1,-1,1.334,1.396,0,0.05,1.56,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00a981f385cd209d41e1efa1f5f29bac-ibm-2004-03-k70,69839,229510,229510,0,-1,-1,-1,8.323,8.446,0,0.30,8.90,0,6302,214,4.871,4.795,0.000,0.000,0,15,0,0,0,0
00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15,430288,894948,894948,0,-1,-1,-1,1836.908,1860.779,0,6.35,1878.54,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00b9b467c26540853360491401da61a5-minand064,14703,42912,42912,0,-1,-1,-1,19.104,19.136,0,0.03,19.20,0,0,126,18.739,18.630,0.000,0.000,0,121,0,0,0,0
00be590675417eba2bb2585790ac392d-iso-brn008.shuffled-as.sat05-2933,1617,3875,3875,0,-1,-1,-1,0.023,0.027,0,0.01,0.04,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00d239e486137a4f7264adb4fb57d5ae-hwb-n24-01-S1048418025.shuffled-as.sat03-1617,162,774,774,0,-1,-1,-1,0.001,0.002,0,0.00,0.01,0,0,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00e289099ea9bcef6a056a8c8ba8a3c0-ndist.b.21497,279453,386925,386925,0,-1,-1,-1,2.327,2.620,0,0.28,3.47,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
