Filename,exit_code,real_time,solve_real_time,SAT_verified
02223564bd2f5c20768e63cf28c785e3-mp1-squ_ali_s10x10_c39_abio_SAT,10,23.10,23.10,0,23.10
02257f12aa71e6622d2bf4d0f7111ebf-sgen1-unsat-139-100.cnf.mis-105.debugged,0,5000.02,5000.00,0,5000.02
0227c865edaeda75e13eea36d57b7eed-sdiv40prop,0,5000.01,5000.00,0,5000.01
022b841952d37f0d6a0d050c9b4b0071-goldb-heqc-i8mul,20,59.32,59.31,0,59.32
022dc7e9935f3570c088db58bd84b2c6-mrpp_6x6#12_8,20,0.05,0.04,0,0.05
02404a08ea36dd43362bbddc578c839d-ctl_4201_555_unsat,20,1186.16,1186.15,0,1186.16
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35,10,79.89,79.78,0,79.89
0241f35c5752768d2b0580533d143a14-53-131587,10,2344.62,2344.59,0,2344.62
024af9416f8c1dad1b4f974757e38d51-8-5-6,10,1882.21,1882.18,0,1882.21
0261b44c278c36459061c368aa00575a-EDP3-12000,10,106.96,106.91,0,106.96
02627689047d06fbb642eef14768d751-ps_200_300_70,20,37.12,37.04,0,37.12
0278eee117c3821771e2d18d710a89ad-equilarge_l5.sat05-522.reshuffled-07,0,5000.02,5000.00,0,5000.02
028d0cc7af63e9bba5795f20e24db4f6-pyhala-braun-sat-35-4-04.shuffled,10,3.94,3.94,0,3.94
0294158664d9ada36bd23fbb652cb823-smtlib-qfbv-aigs-countbits128-tseitin,20,2507.52,2507.51,0,2507.52
0297c2a35f116ffd5382aea5b421e6df-Urquhart-s3-b3.shuffled-as.sat03-1556,20,1.13,1.12,0,1.13
02b69d0e5c2b68d5c3d650164b6c277d-Q3inK08,10,0.01,0.00,0,0.01
02bc149bbe801807912f651c7bad3e74-dead-dnd008.shuffled-as.sat05-3114,20,733.00,732.99,0,733.00
02c3f1d24074cba45a64d0b4b5aa0238-g2-hwmcc15deep-bobpcihm-k32,0,5000.04,5000.01,0,5000.04
02c6fe8483e4f4474b7ac9731772535d-ncc_none_7047_6_3_3_0_0_420,20,632.07,632.01,0,632.07
02cfa5a71b5c89a1b10b5f5a5221ed05-clauses-8,10,424.93,424.86,0,424.93
02d8847ee38504792705d794eb93e9a7-traffic_b_unsat,20,138.32,138.30,0,138.32
02eef920cd1aab9ef3492fe27bf515c4-php-025-024.shuffled-as.sat05-1191,0,5000.04,5000.02,0,5000.04
02f2343e32f9070f149708d77556b4aa-Kakuro-easy-117-ext.xml.hg_5,10,247.54,247.35,0,247.54
03041657b7177746724b819433c83b20-blocks-4-ipc5-h21-unknown,20,11.37,11.35,0,11.37
0309ea422084568c2b4df13b32094380-rbsat-v945c61409gyes1,0,5000.03,5000.02,0,5000.03
031757c0a6797eddf3e84bcefbbdb753-b2005-p2-14x14c17h9-Ser4-0,0,5000.13,5000.03,0,5000.13
031c99d72be38eedacc8b402784e9821-partial-10-17-u,0,5000.03,5000.00,0,5000.03
033560dbd1b4d3545b4b40ef90aaaa29-total-5-15-u,0,5000.04,5000.01,0,5000.04
0336f81b60baac5b8f481dd3c32861a5-mod4block_2vars_10gates_u2_autoenc-sc2009,10,4.64,4.63,0,4.64
033743e540b7f6e2114a3e6981558795-li-test4-97.shuffled-as.sat03-375,0,5000.02,5000.00,0,5000.02
033d611722714d5206cc0184479e92e2-urqh2x5.shuffled-as.sat03-1473,20,55.96,55.96,0,55.96
033f38da07bdbbad4763eaf1fe97ce37-AProVE07-27,20,160.36,160.36,0,160.36
035c200bbf0a783e4ec9656cfa9b2f68-vmpc_34.shuffled-as.sat05-1958-sc2005,0,5000.04,5000.02,0,5000.04
036b541db9d0839b0591d408ff4f77ae-aes_decry_2_rounds.debugged,20,120.96,120.94,0,120.96
0379936c75c225f1a9a113762b019da6-AProVE09-17,10,2.64,2.63,0,2.64
037c423f56548082b1935e88c48ffdda-3col120_5_2.shuffled,10,0.03,0.03,0,0.03
